client_id,content_age_days,impressions_90d,clicks_90d,ctr_decimal,avg_position_clean,refresh_score,archetype,reason_code,recommended_action,priority,requires_human_signoff
client_7f2253d7e2,141,15213,52,0.0034000000000000002,18.0,0.8607003262514251,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,224,21697,68,0.0031,25.6,0.8606403319065022,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,225,9547,3,0.0003,25.6,0.8606218933054324,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,14663,38,0.0026,16.8,0.860584965339773,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,14891,54,0.0036,18.0,0.8604233612454789,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,131,3867,2,0.0005,27.5,0.8603091807774094,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,6006,97,0.016200000000000003,24.0,0.8601980033475014,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,17603,52,0.003,28.5,0.8601964884240697,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,124,4621,1,0.0002,35.2,0.8600536265689275,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,148,2748,2,0.0007000000000000001,18.7,0.85999133843078,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,14863,132,0.0089,18.2,0.8599726333673532,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,224,22127,70,0.0032,17.5,0.8595824165674307,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,7937,36,0.0045000000000000005,26.1,0.8595619629128574,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,284,3524,4,0.0011,21.0,0.8595326690290358,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,23850,18,0.0008,37.3,0.8593236346719446,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,32664,295,0.009000000000000001,20.2,0.8591061291908371,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,224,59949,11,0.0002,27.3,0.859099560175458,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,10171,3,0.0003,28.0,0.8590621860583744,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,230,25018,8,0.0003,37.3,0.8590064463133967,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,225,16356,31,0.0019,26.0,0.8589918046340204,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,18384,5,0.0003,38.6,0.8587979438270094,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,106,10744,33,0.0031,24.4,0.8585701192214708,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,12315,80,0.006500000000000001,20.6,0.8583713246054172,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,76868,8,0.0001,39.9,0.8583605606211152,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,174,3031,2,0.0007000000000000001,23.6,0.8583308450105198,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,224,7673,32,0.0042,25.6,0.8581907536324422,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,29783,201,0.0067,22.0,0.8581690226440435,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,24252,70,0.0029,23.0,0.8581683646699703,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,29125,219,0.0075,19.6,0.8581245903266428,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,11465,55,0.0048,21.4,0.8580489641463716,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,52399,87,0.0017000000000000001,27.8,0.8580362545000854,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,5628,2,0.0004,36.7,0.8579743198701224,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,310,2132,1,0.0005,33.4,0.8573081413576952,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,92,4744,20,0.0042,27.1,0.8572501188050675,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,18213,21,0.0012,24.2,0.8569774505031534,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,20947,165,0.0079,16.0,0.856932451473104,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,165,2772,3,0.0011,37.7,0.8566955150678703,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,4469,3,0.0007000000000000001,23.5,0.8565863298033324,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,333,2242,1,0.0004,28.3,0.8565748522340167,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,225,17695,64,0.0036,19.2,0.8564636821315227,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,28190,85,0.003,28.5,0.856435222695624,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,25379,13,0.0005,34.3,0.8563626046763838,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,8915,60,0.0067,18.6,0.8562221999539473,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,27317,19,0.0007000000000000001,36.4,0.8557577433121035,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,83490,31,0.0004,45.0,0.8557076370214058,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,35904,234,0.006500000000000001,18.1,0.8555575872896032,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,225,3985,2,0.0005,28.9,0.8554907832280197,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,223,2272,2,0.0009,43.8,0.8554410198745142,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,165,3382,4,0.0012,24.5,0.8551100359088231,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,155,2145,0,0.0,27.3,0.8548824911959508,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,21332,14,0.0007000000000000001,30.0,0.8548712793306993,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,174,1915,1,0.0005,18.2,0.8546146115393899,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,43273,439,0.0101,24.2,0.854313239482074,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,10725,4,0.0004,26.7,0.8542959062367415,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,224,13636,9,0.0007000000000000001,19.4,0.8542479659012824,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,263,2191,3,0.0014000000000000002,29.1,0.8538808600513553,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,20549,15,0.0007000000000000001,37.3,0.8538085306602832,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,23127,27,0.0012,40.2,0.8537775922721336,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,225,13513,29,0.0021,16.0,0.8536386859326636,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,23888,15,0.0006,24.9,0.8535928911675057,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,18293,21,0.0011,23.8,0.8534615972189095,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,3289,4,0.0012,25.6,0.8532929111521154,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,165,1670,2,0.0012,34.0,0.8532579837467275,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,224,71649,65,0.0009,23.1,0.8526370046219117,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,165,1984,2,0.001,20.1,0.852568656023579,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,310,2057,2,0.001,28.1,0.8524142337421019,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,3288,3,0.0009,26.8,0.8523705827262157,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,3133,1,0.0003,24.4,0.8523119627626066,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,3816,1,0.0003,15.0,0.8522694170139465,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,224,26267,98,0.0037,23.5,0.8521574218752178,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
