content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,content_hash_id,gsc_clicks,gsc_impressions,gsc_avg_position,gsc_ctr,is_declining,staleness_bucket,action_score,reason_code,action_label
content_4f35dec82501,client_19581e27de,2900.0,0.03,LOW,0.22,keyword article,informational,,,,,500,1,2,2,2,0,0,0,85,2,104,1,1,123,0,0,236,181-365,5,104,91-180,,,0.2,16.0,0.0,0.0,0.0,moderate,striking,stable,-15.4,content_4f35dec82501,1,500,16.0,0.002,0,91-180d,0.6059661117744158,NO_ACTION_NEEDED,MONITOR
content_01d4f24efea8,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,transactional,6598.0,43270.0,,gemini-3-flash-preview,5241,37,330,204,203,4,2,16,88,49,1728,10,84,1916,16,43,211,181-365,5,104,91-180,3500+,25000+,0.71,19.1,1.96,4.85,0.98,good,striking,stable,-9.8,content_01d4f24efea8,37,5241,19.1,0.0070999999999999995,0,91-180d,0.6059524834041493,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_cc6b3aef8420,client_02d20bbd7e,10.0,1.0,HIGH,0.0,keyword article,transactional,1422.0,9049.0,,unknown,722,2,9,9,9,0,0,4,70,9,503,2,3,142,0,3,332,181-365,5,104,91-180,1000-2000,8000-15000,0.28,15.0,0.0,44.44,0.0,moderate,striking,up,254.2,content_cc6b3aef8420,2,722,15.0,0.0028000000000000004,0,91-180d,0.6059381346315073,NO_ACTION_NEEDED,MONITOR
content_33a6f60938ab,client_8527a891e2,110.0,0.08,LOW,0.87,keyword article,informational,3773.0,22099.0,,gpt-4o-mini,1093,4,12,13,13,0,0,2,88,11,198,1,2,302,1,9,310,181-365,5,104,91-180,3500+,15000-25000,0.37,6.7,0.0,16.67,0.0,moderate,page_1,down,-34.4,content_33a6f60938ab,4,1093,6.7,0.0037,1,91-180d,0.6059332956196225,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_c32d73efd34e,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,,,,,1093,4,4,3,3,0,0,1,88,3,99,0,0,252,1,1,257,181-365,5,104,91-180,,,0.37,4.3,0.0,25.0,0.0,moderate,page_1,down,-60.7,content_c32d73efd34e,4,1093,4.3,0.0037,1,91-180d,0.6059332956196225,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_010bfaf7be08,client_19581e27de,10.0,0.76,HIGH,7.87,keyword article,informational,,,,,1255,5,4,4,4,1,0,1,88,4,400,4,4,200,0,0,329,181-365,5,104,91-180,,,0.4,2.3,25.0,25.0,0.0,moderate,top_3,up,100.0,content_010bfaf7be08,5,1255,2.3,0.004,0,91-180d,0.6059321883157732,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_696fde81c30f,client_19581e27de,40.0,0.1,LOW,0.04,keyword article,transactional,,,,,499,1,2,2,2,0,0,0,86,2,242,0,1,110,0,0,313,181-365,5,104,91-180,,,0.2,26.5,0.0,0.0,0.0,moderate,page_3_5,up,120.0,content_696fde81c30f,1,499,26.5,0.002,0,91-180d,0.6059314029131668,NO_ACTION_NEEDED,MONITOR
content_b5286cb71075,client_3fdba35f04,10.0,0.0,LOW,0.0,keyword article,transactional,1440.0,9017.0,,gpt-4o-mini,198,0,17,13,13,0,0,8,59,3,25,0,0,46,0,0,165,91-180,4,104,91-180,1000-2000,8000-15000,0.0,21.8,0.0,47.06,0.0,low,page_3_5,down,-45.7,content_b5286cb71075,0,198,21.8,0.0,1,91-180d,0.6059267257961143,NO_ACTION_NEEDED,MONITOR
content_e2b997fb1c03,client_6208ef0f77,20.0,0.0,LOW,0.0,keyword article,commercial,6908.0,45564.0,,gemini-3-flash-preview,908,3,104,60,60,0,0,2,87,21,195,0,35,273,2,12,300,181-365,5,104,91-180,3500+,25000+,0.33,16.5,0.0,1.92,0.0,moderate,striking,down,-28.6,content_e2b997fb1c03,3,908,16.5,0.0033,1,91-180d,0.6059151580686047,NO_ACTION_NEEDED,MONITOR
content_452ee96fa4b6,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,transactional,,,,,4550,31,34,31,31,0,0,3,88,26,1208,7,10,1428,10,15,330,181-365,5,104,91-180,,,0.68,5.3,0.0,8.82,0.0,good,page_1,stable,-15.4,content_452ee96fa4b6,31,4550,5.3,0.0068000000000000005,0,91-180d,0.6058968761599818,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_51ab2032df03,client_19581e27de,90.0,0.05,LOW,1.37,keyword article,transactional,3147.0,22593.0,google,gemini-2.5-flash,720,2,6,3,3,0,0,0,86,3,156,0,1,342,2,2,139,91-180,4,104,91-180,2000-3500,15000-25000,0.28,12.6,0.0,0.0,0.0,moderate,striking,down,-54.4,content_51ab2032df03,2,720,12.6,0.0028000000000000004,1,91-180d,0.6058900133285032,NO_ACTION_NEEDED,MONITOR
content_a2a6e9857625,client_19581e27de,1000.0,0.09,LOW,0.11,keyword article,transactional,,,,,906,3,1,1,1,0,0,0,88,1,296,1,0,219,2,1,153,91-180,4,104,91-180,,,0.33,11.7,0.0,0.0,0.0,moderate,striking,up,35.2,content_a2a6e9857625,3,906,11.7,0.0033,0,91-180d,0.6058768942221299,NO_ACTION_NEEDED,MONITOR
content_178b0367d8f4,client_434c9b5ae5,0.0,0.0,LOW,0.0,keyword article,informational,2571.0,17651.0,google,gemini-3-flash-preview,510,0,14,14,14,0,0,1,37,7,101,0,11,409,0,2,105,91-180,4,89,31-90,2000-3500,15000-25000,0.0,8.1,0.0,7.14,0.0,moderate,page_1,down,-75.3,content_178b0367d8f4,0,510,8.1,0.0,1,31-90d,0.605871082580731,NO_ACTION_NEEDED,MONITOR
